Year,Source,Revenue,Expenses,Asset rise,Total assets
2019/2020,PDF,"$ 129,234,327","$ 112,489,397","$ 14,674,300","$ 180,315,725"
2018/2019,PDF,"$ 120,067,266","$ 91,414,010","$ 30,691,855","$ 165,641,425"
2017/2018,PDF,"$ 104,505,783","$ 81,442,265","$ 21,619,373","$ 134,949,570"
2016/2017,PDF,"$ 91,242,418","$ 69,136,758","$ 21,547,402","$ 113,330,197"
2015/2016,PDF,"$ 81,862,724","$ 65,947,465","$ 13,962,497","$ 91,782,795"
2014/2015,PDF,"$ 75,797,223","$ 52,596,782","$ 24,345,277","$ 77,820,298"
2013/2014,PDF,"$ 52,465,287","$ 45,900,745","$ 8,285,897","$ 53,475,021"
2012/2013,PDF,"$ 48,635,408","$ 35,704,796","$ 10,260,066","$ 45,189,124"
2011/2012,PDF,"$ 38,479,665","$ 29,260,652","$ 10,736,914","$ 34,929,058"
2010/2011,PDF,"$ 24,785,092","$ 17,889,794","$ 9,649,413","$ 24,192,144"
2009/2010,PDF,"$ 17,979,312","$ 10,266,793","$ 6,310,964","$ 14,542,731"
2008/2009,PDF,"$ 8,658,006","$ 5,617,236","$ 3,053,599","$ 8,231,767"
2007/2008,PDF,"$ 5,032,981","$ 3,540,724","$ 3,519,886","$ 5,178,168"
2006/2007,PDF,"$ 2,734,909","$ 2,077,843","$ 654,066","$ 1,658,282"
2005/2006,PDF,"$ 1,508,039","$ 791,907","$ 736,132","$ 1,004,216"
2004/2005,PDF,"$ 379,088","$ 177,670","$ 211,418","$ 268,084"
2003/2004,PDF,"$ 80,129","$ 23,463","$ 56,666","$ 56,666"
